Index,Manufacturer Part Number,Description,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1
1,HVR3700003304FR500,RES 3.3M OHM 1/2W 1% AXIAL,,4,4,Cut Tape (CT),PPCHF3.30MCT-ND,"4,07000",
2,MFP-25BRD52-220R,RES 220 OHM 1/4W 0.1% AXIAL,,2,2,Cut Tape (CT),220ADCT-ND,"5,81000",
3,RNMF14FTC180R,RES 180 OHM 1/4W 1% AXIAL,,2,2,Cut Tape (CT),S180CACT-ND,"0,83000",
4,CCF55150RFKE36,RES 150 OHM 1% 1/2W AXIAL,,2,2,Cut Tape (CT),749-2066-1-ND,"1,41000","
5,C317C681K2R5TA,CAP CER 680PF 200V X7R RADIAL,,1,1,Bulk,399-4249-ND,"3,40000",
6,RCER72A223K0M1H03A,CAP CER 0.022UF 100V X7R RADIAL,,2,2,Cut Tape (CT),490-7584-1-ND,"4,57000",
7,1N5230B-TR,DIODE ZENER 4.7V 500MW DO35,,2,2,Cut Tape (CT),1N5230BVSCT-ND,"2,08000",
8,CF14JT270R,RES 270 OHM 1/4W 5% AXIAL,,1,1,Cut Tape (CT),CF14JT270RCT-ND,"0,83000",
9,IO-XLR3-F-BV,CONN RCPT FMALE XLR 3P GOLD SLDR,,2,2,Bulk,1937-IO-XLR3-F-BV-ND,"32,37000",
10,XLR312C,CONN PLUG MALE XLR 3P SOLDER,,2,2,Bulk,1003-1235-ND,"96,28000","kr
11,40 OHM radial 1%,,,,,,,CMF6040R000BEBF-ND,
